id,name,known_name,gender,birth_date,birth_city,birth_country,death_date,death_city,death_country,prize_number,year,category,share,motivation,prize_amount,prize_amount_adjusted,sort_order
177,Fritz Haber,Fritz Haber,male,1868-12-09,Breslau,Prussia,1934-01-29,Basel,Switzerland,1,1918,Chemistry,,for the synthesis of ammonia from its elements,138198,3600741,1
355,Fritz Albert Lipmann,Fritz Lipmann,male,1899-06-12,Koenigsberg,Germany,1986-07-24,"Poughkeepsie, NY",USA,1,1953,Physiology or Medicine,,for his discovery of co-enzyme A and its importance for intermediary metabolism,175293,3247029,2
181,Fritz Pregl,Fritz Pregl,male,1869-09-03,Laibach,Austria-Hungary,1930-12-13,Graz,Austria,1,1923,Chemistry,,for his invention of the method of micro-analysis of organic substances,114935,4007513,1
659,Gabriel García Márquez,Gabriel García Márquez,male,1927-03-06,Aracataca,Colombia,2014-04-17,Mexico City,Mexico,1,1982,Literature,,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",1150000,3923237,1
12,Gabriel Lippmann,Gabriel Lippmann,male,1845-08-16,Hollerich,Luxembourg,1921-07-13,,,1,1908,Physics,,for his method of reproducing colours photographically based on the phenomenon of interference,139800,8958535,1
615,Gabriela Mistral,Gabriela Mistral,female,1889-04-07,Vicuña,Chile,1957-01-10,"Hempstead, NY",USA,1,1945,Literature,,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",121333,3161325,1
734,Gao Xingjian,Gao Xingjian,male,1940-01-04,Ganzhou,China,,,,1,2000,Literature,,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",9000000,14331095,1
708,Gary S. Becker,Gary Becker,male,1930-12-02,"Pottsville, PA",USA,2014-05-03,"Chicago, IL",USA,1,1992,Economic Sciences,,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",6500000,11613791,1
1036,Gary Ruvkun,Gary Ruvkun,male,1952-00-00,"Berkeley, CA",USA,,,,1,2024,Physiology or Medicine,,for the discovery of microRNA and its role in post-transcriptional gene regulation,11000000,11000000,2
1038,Geoffrey Hinton,Geoffrey Hinton,male,1947-12-06,London,United Kingdom,,,,1,2024,Physics,,for foundational discoveries and inventions that enable machine learning with artificial neural networks,11000000,11000000,2
